id_aluno_ano,nome,ano,ponto_virada,inde,iaa,ieg,ips,ida,ipp,ipv,ian,anos_pm,2020,2021,2022,fem,masc,pedra,bolsista,nao_bolsista,in_fase,ipv_pre_processado_resultado,ieg_pre_processado_resultado,ida_pre_processado_resultado,rec_ava_1_pre_processado_resultado,rec_ava_2_pre_processado_resultado,rec_ava_3_pre_processado_resultado,rec_ava_4_pre_processado_resultado,fase
aluno849_2020,aluno849,2020,0.0,7.857501333333333,7.91668,8.6,7.5,9.0,7.291666666666667,7.833333333333333,5.0,0,1.0,0.0,0.0,0.0,1.0,3,0.0,1.0,1,-1.0,1.0,1.0,,,,,1
aluno849_2021,aluno849,2021,0.0,7.444,7.5,8.3,8.1,4.6,7.9,7.6,10.0,1,0.0,1.0,0.0,0.0,1.0,3,0.0,1.0,0,,,,0.0,1.0,1.0,0.0,2
aluno850_2020,aluno850,2020,0.0,8.186876333333334,9.16668,9.7,7.5,6.666666666666667,7.96875,7.25,10.0,4,1.0,0.0,0.0,1.0,0.0,3,1.0,0.0,1,1.0,1.0,-1.0,,,,,3
aluno850_2021,aluno850,2021,1.0,8.151,9.2,7.5,7.5,6.6,8.1,9.3,10.0,5,0.0,1.0,0.0,1.0,0.0,3,1.0,0.0,0,,,,1.0,1.0,1.0,0.0,3
aluno850_2022,aluno850,2022,0.0,7.388203535794046,7.91667,7.776784067859118,5.0,6.711111111111111,7.65625,7.1666625,10.0,6,0.0,0.0,1.0,1.0,0.0,3,0.0,1.0,0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,4
aluno851_2020,aluno851,2020,0.0,7.65,9.50002,10.0,7.5,9.0,2.5,6.99999,5.0,1,1.0,0.0,0.0,0.0,1.0,3,0.0,1.0,1,-1.0,1.0,1.0,,,,,0
aluno851_2021,aluno851,2021,1.0,7.713,9.5,9.6,7.5,4.8,8.1,9.2,5.0,2,0.0,1.0,0.0,0.0,1.0,3,0.0,1.0,0,,,,0.0,0.0,1.0,0.0,1
aluno851_2022,aluno851,2022,0.0,8.040676603174603,10.00002,9.682539682539682,7.5,8.583333333333334,6.041666666666667,7.666666666666667,5.0,3,0.0,0.0,1.0,0.0,1.0,3,1.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,,1
aluno852_2022,aluno852,2022,0.0,7.347305921568628,9.000020000000001,7.88235294117647,8.75,7.166666666666666,5.625,7.5,5.0,0,0.0,0.0,1.0,1.0,0.0,3,1.0,0.0,0,1.0,1.0,-1.0,0.0,0.0,,,0
aluno853_2022,aluno853,2022,1.0,7.928601818181819,9.50002,9.090909090909092,7.5,7.75,5.9375,8.83334,5.0,0,0.0,0.0,1.0,0.0,1.0,3,1.0,0.0,0,1.0,1.0,1.0,0.0,1.0,,,1
aluno854_2022,aluno854,2022,0.0,7.403129618406286,9.000020000000001,8.092031425364757,7.5,5.666666666666666,6.458333333333334,6.777773333333333,10.0,0,0.0,0.0,1.0,0.0,1.0,3,1.0,0.0,0,-1.0,1.0,-1.0,0.0,0.0,0.0,,2
aluno855_2020,aluno855,2020,0.0,7.356112666666667,9.000020000000001,7.6,7.5,8.0,7.083333333333334,6.888886666666665,5.0,0,1.0,0.0,0.0,0.0,1.0,3,0.0,1.0,1,-1.0,1.0,1.0,,,,,2
aluno855_2021,aluno855,2021,0.0,6.243,8.0,7.1,7.5,2.8,7.9,7.1,5.0,1,0.0,1.0,0.0,0.0,1.0,2,0.0,1.0,0,,,,0.0,0.0,0.0,0.0,2
aluno855_2022,aluno855,2022,0.0,6.355207500000001,8.75001,7.6875,7.5,4.25,7.34375,5.5416575,5.0,2,0.0,0.0,1.0,0.0,1.0,2,1.0,0.0,0,-1.0,1.0,-1.0,0.0,0.0,0.0,1.0,3
aluno856_2022,aluno856,2022,0.0,7.641655050108932,9.16668,9.27076525054466,7.5,7.166666666666667,6.041666666666667,7.91667,5.0,0,0.0,0.0,1.0,1.0,0.0,3,1.0,0.0,0,1.0,1.0,-1.0,1.0,0.0,0.0,,5
aluno857_2022,aluno857,2022,0.0,7.779763904761905,9.000020000000001,9.523809523809524,7.5,7.5,6.25,8.0,5.0,0,0.0,0.0,1.0,1.0,0.0,3,1.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,,1
aluno858_2020,aluno858,2020,1.0,8.590003000000001,9.000020000000001,9.7,6.875,9.5,8.125,9.250005,5.0,1,1.0,0.0,0.0,1.0,0.0,4,0.0,1.0,1,-1.0,1.0,1.0,,,,,1
aluno858_2021,aluno858,2021,1.0,8.586,9.5,10.0,7.5,6.2,7.7,9.4,10.0,2,0.0,1.0,0.0,1.0,0.0,4,0.0,1.0,0,,,,0.0,1.0,0.0,0.0,2
aluno858_2022,aluno858,2022,0.0,6.689521871961853,10.00002,8.39898935980926,5.0,4.583333333333333,4.375,8.277776666666668,5.0,3,0.0,0.0,1.0,1.0,0.0,2,1.0,0.0,0,1.0,1.0,-1.0,1.0,0.0,1.0,,2
aluno859_2022,aluno859,2022,0.0,7.729168333333334,9.50002,8.416666666666666,7.5,8.5,5.625,7.916665,5.0,0,0.0,0.0,1.0,0.0,1.0,3,1.0,0.0,0,1.0,1.0,1.0,0.0,1.0,,,1
aluno860_2020,aluno860,2020,1.0,8.448612666666666,8.33334,10.0,7.5,8.666666666666666,8.541666666666666,8.888893333333332,5.0,2,1.0,0.0,0.0,0.0,1.0,3,0.0,1.0,1,-1.0,1.0,1.0,,,,,3
aluno860_2021,aluno860,2021,0.0,7.069,8.8,5.0,7.5,7.2,8.3,8.4,5.0,3,0.0,1.0,0.0,0.0,1.0,3,0.0,1.0,0,,,,1.0,1.0,1.0,0.0,3
aluno861_2020,aluno861,2020,0.0,8.080835,9.58335,8.8,7.5,8.666666666666666,8.125,7.833333333333334,5.0,0,1.0,0.0,0.0,0.0,1.0,3,0.0,1.0,1,-1.0,1.0,1.0,,,,,3
aluno861_2021,aluno861,2021,0.0,7.724,9.2,8.3,7.5,7.7,7.7,7.9,5.0,1,0.0,1.0,0.0,0.0,1.0,3,0.0,1.0,0,,,,1.0,1.0,1.0,0.0,3
aluno861_2022,aluno861,2022,0.0,6.962409296451915,9.58335,6.278011204481793,6.875,6.877777777777777,7.1875,7.3333325,5.0,2,0.0,0.0,1.0,0.0,1.0,2,1.0,0.0,0,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,4
aluno862_2020,aluno862,2020,0.0,8.345835333333333,9.50002,9.5,6.875,10.0,7.083333333333334,8.0,5.0,1,1.0,0.0,0.0,1.0,0.0,3,0.0,1.0,1,-1.0,1.0,1.0,,,,,1
aluno862_2021,aluno862,2021,1.0,7.99,9.0,9.6,7.5,6.5,8.1,9.1,5.0,2,0.0,1.0,0.0,1.0,0.0,3,0.0,1.0,0,,,,0.0,0.0,1.0,0.0,1
aluno862_2022,aluno862,2022,1.0,7.785336999222999,7.50002,9.16278166278166,7.5,8.25,6.25,8.388893333333334,5.0,3,0.0,0.0,1.0,1.0,0.0,3,1.0,0.0,0,1.0,1.0,1.0,0.0,0.0,1.0,,1
aluno863_2022,aluno863,2022,0.0,8.679763571428571,10.00002,9.19047619047619,8.125,9.416666666666668,5.625,7.916665,10.0,0,0.0,0.0,1.0,1.0,0.0,4,1.0,0.0,0,1.0,1.0,1.0,0.0,0.0,,,0
aluno864_2022,aluno864,2022,0.0,7.680083750915751,8.000020000000001,8.754578754578755,7.5,8.5,6.458333333333334,7.666663333333332,5.0,0,0.0,0.0,1.0,0.0,1.0,3,1.0,0.0,0,1.0,1.0,1.0,1.0,1.0,0.0,,2
aluno865_2021,aluno865,2021,1.0,8.396,9.5,10.0,7.5,7.3,8.1,9.7,5.0,0,0.0,1.0,0.0,0.0,1.0,4,0.0,1.0,0,,,,1.0,1.0,0.0,0.0,0
aluno865_2022,aluno865,2022,0.0,6.254285403508773,7.50002,7.389473684210527,7.5,4.583333333333334,6.041666666666667,6.277776666666666,5.0,1,0.0,0.0,1.0,0.0,1.0,2,1.0,0.0,0,-1.0,-1.0,-1.0,0.0,1.0,0.0,,1
aluno866_2020,aluno866,2020,0.0,8.558752,9.000020000000001,9.7,7.5,9.0,7.1875,7.25,10.0,1,1.0,0.0,0.0,1.0,0.0,4,0.0,1.0,1,1.0,1.0,1.0,,,,,1
aluno866_2021,aluno866,2021,1.0,8.846,8.5,10.0,7.5,8.4,7.7,9.0,10.0,2,0.0,1.0,0.0,1.0,0.0,4,1.0,0.0,0,,,,1.0,0.0,0.0,0.0,1
aluno866_2022,aluno866,2022,1.0,8.416724112554114,7.50002,9.72943722943723,7.5,9.583333333333332,6.875,9.33334,5.0,3,0.0,0.0,1.0,1.0,0.0,4,0.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,,1
