nome,ano,ponto_virada,inde,iaa,ieg,ips,ida,ipp,ipv,ian,anos_pm,2020,2021,2022,fem,masc,pedra,bolsista,nao_bolsista,in_fase,ipv_pre_processado_resultado,ieg_pre_processado_resultado,ida_pre_processado_resultado,rec_ava_1_pre_processado_resultado,rec_ava_2_pre_processado_resultado,rec_ava_3_pre_processado_resultado,rec_ava_4_pre_processado_resultado
aluno17,2022,0.0,6.723325934837093,9.50002,6.647869674185464,7.5,5.5,5.9375,7.5,5.0,4,0.0,0.0,1.0,0.0,1.0,2,1.0,0.0,0,1.0,-1.0,-1.0,0.0,1.0,,
aluno18,2020,0.0,7.2055576666666665,9.58335,7.0,7.5,6.5,7.083333333333334,7.944446666666665,5.0,3,1.0,0.0,0.0,0.0,1.0,2,0.0,1.0,1,-1.0,-1.0,-1.0,,,,
aluno18,2021,0.0,5.666,10.0,3.3,6.3,5.3,7.7,5.2,5.0,4,0.0,1.0,0.0,0.0,1.0,2,0.0,1.0,0,,,,0.0,1.0,0.0,0.0
aluno18,2022,0.0,5.845721955648926,0.0,6.287640056022409,8.125,5.222222222222222,7.8125,7.2499975,5.0,5,0.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0
aluno19,2021,0.0,6.751,9.0,6.3,7.5,4.6,7.7,8.3,5.0,0,0.0,1.0,0.0,0.0,1.0,2,0.0,1.0,0,,,,0.0,0.0,0.0,0.0
aluno19,2022,0.0,7.843149036414566,10.00002,9.054621848739496,7.5,7.466666666666667,6.666666666666666,8.111113333333334,5.0,1,0.0,0.0,1.0,0.0,1.0,3,1.0,0.0,0,1.0,1.0,-1.0,1.0,1.0,0.0,
aluno20,2022,1.0,8.616243765480895,10.00002,9.552042160737813,7.5,8.466666666666667,5.625,8.5,10.0,0,0.0,0.0,1.0,1.0,0.0,4,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,,
aluno21,2022,0.0,5.652385860342557,7.91667,5.649085968379447,5.0,5.166666666666667,7.03125,6.222216666666668,2.5,0,0.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0,-1.0,-1.0,-1.0,0.0,0.0,1.0,
aluno22,2022,0.0,8.098496318150449,8.000020000000001,8.982056590752244,7.5,9.25,4.6875,7.166665,10.0,0,0.0,0.0,1.0,1.0,0.0,4,1.0,0.0,0,-1.0,1.0,1.0,1.0,0.0,,
aluno23,2022,0.0,7.78265826912142,8.000020000000001,7.7986963456071,7.5,9.25,6.5625,8.333335,5.0,0,0.0,0.0,1.0,1.0,0.0,3,1.0,0.0,0,1.0,1.0,1.0,1.0,1.0,,
aluno24,2022,1.0,8.26975686419753,10.00002,9.320987654320987,6.875,6.75,6.458333333333333,8.611119999999998,10.0,0,0.0,0.0,1.0,1.0,0.0,4,1.0,0.0,0,1.0,1.0,-1.0,0.0,0.0,0.0,
aluno25,2022,0.0,7.95176506926407,7.50002,8.346320346320347,7.5,9.1,3.125,8.249995,10.0,0,0.0,0.0,1.0,0.0,1.0,3,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,,
aluno26,2022,0.0,7.738020410934745,9.000020000000001,8.721340388007054,7.5,9.166666666666666,5.9375,7.083335,5.0,0,0.0,0.0,1.0,1.0,0.0,3,1.0,0.0,0,-1.0,1.0,1.0,1.0,0.0,,
aluno27,2022,0.0,6.350091965367965,9.000020000000001,6.493506493506493,7.5,4.583333333333333,5.625,7.111109999999999,5.0,0,0.0,0.0,1.0,0.0,1.0,2,1.0,0.0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,
aluno28,2020,1.0,9.354725666666669,9.58335,9.6,6.875,9.0,10.0,9.944453333333334,10.0,2,1.0,0.0,0.0,1.0,0.0,4,1.0,0.0,1,1.0,1.0,1.0,,,,
aluno28,2021,1.0,9.079,8.3,9.2,7.5,8.8,9.4,9.9,10.0,3,0.0,1.0,0.0,1.0,0.0,4,1.0,0.0,0,,,,1.0,1.0,1.0,1.0
aluno29,2021,0.0,6.342,9.6,5.3,7.5,3.8,7.5,7.9,5.0,0,0.0,1.0,0.0,1.0,0.0,2,0.0,1.0,0,,,,1.0,1.0,0.0,0.0
aluno29,2022,0.0,4.935556331573656,0.0,4.832296380090497,7.5,5.777777777777778,6.71875,5.7083325,2.5,1,0.0,0.0,1.0,1.0,0.0,1,1.0,0.0,0,-1.0,-1.0,-1.0,1.0,0.0,1.0,0.0
aluno30,2020,0.0,7.125001,7.91668,10.0,7.5,4.75,2.5,6.916665,10.0,0,1.0,0.0,0.0,1.0,0.0,2,0.0,1.0,1,1.0,1.0,-1.0,,,,
aluno30,2022,0.0,8.083535682039548,10.00002,9.005163410197735,7.5,9.1,5.625,8.250005,5.0,0,0.0,0.0,1.0,1.0,0.0,4,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,,
aluno31,2022,0.0,7.263157796906798,6.91668,7.317867317867318,7.5,7.466666666666667,5.3125,6.666665,10.0,0,0.0,0.0,1.0,1.0,0.0,3,1.0,0.0,0,-1.0,-1.0,-1.0,0.0,0.0,,
aluno32,2022,0.0,6.792708666666667,7.91667,8.333333333333334,7.5,4.0,7.34375,7.75,5.0,0,0.0,0.0,1.0,1.0,0.0,2,1.0,0.0,0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0
aluno33,2020,0.0,7.013888333333334,6.66667,4.5,7.5,8.666666666666666,7.083333333333334,6.277773333333332,10.0,0,1.0,0.0,0.0,0.0,1.0,2,0.0,1.0,1,1.0,-1.0,1.0,,,,
aluno34,2020,0.0,7.698890666666667,8.500020000000001,9.3,6.875,7.0,8.125,7.944443333333334,5.0,2,1.0,0.0,0.0,1.0,0.0,3,0.0,1.0,1,-1.0,1.0,-1.0,,,,
aluno34,2021,0.0,6.129,6.9,2.9,7.5,5.5,7.7,8.7,5.0,3,0.0,1.0,0.0,1.0,0.0,2,0.0,1.0,0,,,,1.0,0.0,0.0,0.0
