nome,idade,fase,iaa,inde,ponto_virada,sexo,ips,pedra,ipp,ida,bolsista_encoded,pedra_encoded,ian,ieg,ipv,corraca,diff_fase,na_fase,ponto_virada_encoded,cg,cf,ct
ALUNO-29,16.0,3,0.0,4.935556331573656,Não,F,7.5,Quartzo,6.71875,5.777777777777778,0,1,2.5,4.832296380090497,5.7083325,R,-3.0,0,0,827.0,129.0,5.0
ALUNO-30,7.0,0,7.9166799999999995,7.125001,Não,F,7.5,Ágata,2.5,4.75,0,2,10,10,6.916665,B,0.0,1,0,122.0,34.0,5.0
ALUNO-30,9.0,0,10.00002,8.083535682039548,Não,F,7.5,Topázio,5.625,9.1,0,4,5.0,9.005163410197735,8.250005,B,-1.0,0,0,122.0,34.0,5.0
ALUNO-31,8.0,0,6.91668,7.263157796906798,Não,F,7.5,Ametista,5.3125,7.466666666666667,0,3,10.0,7.317867317867318,6.666665,R,0.0,1,0,408.0,119.0,6.0
ALUNO-32,inf,7,7.91667,6.792708666666667,Não,F,7.5,Ágata,7.34375,4.0,0,2,5.0,8.333333333333334,7.75,B,-1.0,0,0,558.0,12.0,7.0
ALUNO-34,12.0,2,8.500020000000001,7.698890666666667,Não,F,6.875,Ametista,8.125,7,0,3,5,9.3,7.944443333333334,R,-1.0,0,0,599.0,78.0,4.0
ALUNO-34,13.0,2,6.9,6.129,Não,F,7.5,Ágata,7.7,5.5,0,2,5.0,2.9,8.7,R,-1.0,0,0,599.0,78.0,4.0
ALUNO-34,14.0,3,7.5,6.666787745731961,Não,F,7.5,Ágata,7.5,6.111111111111111,0,2,5.0,7.056167617548691,6.41666,R,-1.0,0,0,599.0,78.0,4.0
ALUNO-36,14.0,3,9.58335,8.307780333333334,Não,F,7.5,Ametista,8.749999999999998,8,0,3,5,9.9,8.222226666666668,R,-1.0,0,0,538.0,46.0,8.0
ALUNO-36,15.0,3,8.3,6.246,Não,F,3.8,Ágata,7.3,4.7,0,2,5.0,6.4,7.9,R,-2.0,0,0,538.0,46.0,8.0
ALUNO-36,16.0,4,5.83333,6.854039584291188,Não,F,6.25,Ágata,7.96875,5.877777777777777,0,2,5.0,8.074712643678161,7.7916675,R,-2.0,0,0,538.0,46.0,8.0
ALUNO-37,10.0,2,10.000020000000001,6.6788913333333335,Não,M,4.375,Ágata,6.458333333333333,2.5,0,2,10,7.7,7.77778,R,0.0,1,0,292.0,45.0,8.0
ALUNO-37,11.0,2,0.0,6.154,Não,M,6.9,Ágata,7.5,6.5,0,2,10.0,5.4,6.7,R,0.0,1,0,292.0,45.0,8.0
ALUNO-37,12.0,2,8.500020000000001,7.55554175568551,Não,M,7.5,Ametista,6.25,7.333333333333333,0,3,5.0,9.041585445094215,7.777779999999999,R,-1.0,0,0,292.0,45.0,8.0
ALUNO-38,13.0,3,3.8,6.847,Não,F,7.5,Ágata,7.5,5.1,0,2,10.0,6.9,7.8,B,0.0,1,0,590.0,77.0,11.0
ALUNO-38,14.0,3,9.16668,6.695387571428572,Não,F,6.25,Ágata,7.34375,5.666666666666667,0,2,5.0,6.721726190476191,7.20833,B,-1.0,0,0,590.0,77.0,11.0
ALUNO-42,8.0,0,10.0,6.802,Não,M,7.5,Ágata,7.2,4.0,0,2,10.0,6.7,6.0,B,0.0,1,0,849.0,189.0,5.0
ALUNO-42,8.0,0,9.000020000000001,4.279765904761905,Não,M,7.5,Quartzo,0.0,2.5,0,1,10.0,3.148809523809524,2.50001,B,0.0,1,0,849.0,189.0,5.0
ALUNO-45,11.0,1,8.500020000000001,6.631252,Não,M,7.5,Ágata,7.8125,10,0,2,5,1,7.75,B,-1.0,0,0,576.0,93.0,16.0
ALUNO-45,13.0,2,7.916679999999999,6.730556,Não,M,6.25,Ágata,6.25,5.0,0,2,5.0,9.166666666666666,6.777773333333332,B,-1.0,0,0,576.0,93.0,16.0
ALUNO-46,8.0,0,9.500020000000001,6.966669,Não,F,7.5,Ágata,7.5,0,0,2,10,10,7.583335,R,0.0,1,0,362.0,94.0,7.0
ALUNO-46,9.0,0,8.5,8.471,Não,F,7.5,Topázio,8.1,6.9,0,4,10.0,10.0,8.4,R,0.0,1,0,362.0,94.0,7.0
