ano,nome,instituicao_ensino_aluno,idade_aluno,anos_pm,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,fase,turma,sinalizador_ingressante,rec_ava_1,rec_ava_2,rec_ava_3,rec_ava_4,defasagem,fase_ideal,ano_ingresso,bolsista,cg,cf,ct,nota_port,nota_mat,nota_ing,qtd_aval,indicado_bolsa
2021,aluno345,Escola Pública,,,0.0,6.764,,Ágata,,,,9.5,5.0,7.5,4.2,7.7,7.3,10.0,Fase 1,F,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,0.0,Fase 1 ,,,,,,,,,,
2020,aluno786,Escola Pública,16,2,0.0,5.065416,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,1.9,7.5,3.0,7.1875,6.83333,5.0,Fase 5,F,,,,,,,,,,,,,,,,,
2021,aluno1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno606,Escola Pública,17,2,0.0,7.556458833333334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.16668,9.6,6.25,6.666666666666667,7.03125,7.7916625,5.0,Fase 5,F,,,,,,,,,,,,,,,,,
2022,aluno440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno823,,,,0.0,7.912811530864198,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,9.320987654320987,8.75,7.166666666666667,6.458333333333334,8.222226666666668,5.0,Fase 2,L,,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,,Fase 3 ,2018,1.0,164.0,23.0,6.0,6.666666666666667,7.666666666666667,,3,0.0
2022,aluno207,,,,0.0,4.571673982861744,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0.0,3.724695192086496,7.5,3.722222222222223,6.40625,5.9583275,5.0,Fase 3,F,,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Fase 5 ,2021,0.0,840.0,138.0,13.0,2.0,4.666666666666667,4.5,4,0.0
2021,aluno392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno1000,,,,0.0,6.686743535353536,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,8.093434343434343,7.5,2.0,6.458333333333334,6.611106666666666,10.0,Fase 2,M,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,,Fase 2 ,2022,0.0,592.0,98.0,7.0,4.0,0.0,,3,0.0
2021,aluno1146,Escola Pública,,,0.0,7.775,,Ametista,,,,9.6,7.2,7.5,6.1,7.5,8.3,10.0,Fase 3,A,Ingressante,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,0.0,Fase 3 ,,,,,,,,,,
2020,aluno1147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno897,Escola Pública,,,0.0,5.135,,Quartzo,,,,7.9,3.3,6.9,4.3,6.7,4.8,5.0,Fase 3,M,Veterano,Mantido na Fase atual,Alocado em Fase anterior,Mantido na Fase atual,Não avaliado,-1.0,Fase 4 ,,,,,,,,,,
2021,aluno313,Escola Pública,,,0.0,7.375,,Ametista,,,,9.5,8.3,5.0,6.3,8.1,8.4,5.0,ALFA,P,Veterano,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,-2.0,Fase 2 ,,,,,,,,,,
2021,aluno526,Escola Pública,,,0.0,7.626,,Ametista,,,,8.5,8.8,7.5,7.8,7.7,7.3,5.0,Fase 1,F,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,-1.0,Fase 2 ,,,,,,,,,,
2021,aluno451,Escola Pública,,,0.0,5.667,,Ágata,,,,8.5,5.0,7.5,1.0,8.3,7.7,5.0,Fase 1,E,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,-1.0,Fase 2 ,,,,,,,,,,
2021,aluno916,Rede Decisão,,,1.0,8.866,,Topázio,,,,8.3,9.7,7.5,7.8,9.2,9.3,10.0,Fase 4,G,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,0.0,Fase 4 ,,,,,,,,,,
2021,aluno1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno964,,,,0.0,7.720170621212121,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.33334,8.203282828282827,7.5,5.777777777777778,7.65625,7.8749975,10.0,Fase 3,F,,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,,Fase 3 ,2021,0.0,230.0,32.0,7.0,5.333333333333333,5.666666666666667,6.333333333333333,4,1.0
2020,aluno937,Escola Pública,10,2,0.0,8.427224,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,9.4,7.5,10.0,7.916666666666668,7.777776666666667,5.0,Fase 1,H,,,,,,,,,,,,,,,,,
2020,aluno861,Escola Pública,14,0,0.0,8.080835,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,8.8,7.5,8.666666666666666,8.125,7.833333333333334,5.0,Fase 3,J,,,,,,,,,,,,,,,,,
2022,aluno1253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno372,Escola Pública,12,3,0.0,6.816668000000001,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,8.0,5.0,6.0,7.5,6.83333,5.0,Fase 2,E,,,,,,,,,,,,,,,,,
2020,aluno1020,FIAP,18,3,,6.250001,D,Quartzo,Ponto a melhorar em 2021: Melhorar o seu engajamento nas ações de voluntariado.,Ponto a melhorar em 2021: As suas notas na Faculdade.,,8.75001,0.0,6.875,7.5,0.0,0.0,10.0,Fase 8,A,,,,,,,,,,,,,,,,,
2020,aluno607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno1086,Escola Pública,,,0.0,7.746,,Ametista,,,,7.9,10.0,7.5,6.2,7.5,8.6,5.0,ALFA,O,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,-2.0,Fase 2 ,,,,,,,,,,
2021,aluno1216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno465,Escola Pública,,,0.0,8.123,,Ametista,,,,8.5,10.0,7.5,7.6,7.8,8.6,5.0,ALFA,S,Ingressante,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,-2.0,Fase 2 ,,,,,,,,,,
2020,aluno702,Escola Pública,9,1,0.0,8.818057333333334,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.500020000000001,9.5,7.5,10.0,7.291666666666667,7.944443333333333,10.0,Fase 1,E,,,,,,,,,,,,,,,,,
2022,aluno970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno922,,,,0.0,7.191666500000001,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,8.458333333333334,5.0,5.166666666666667,7.5,6.7083275,10.0,Fase 3,G,,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Fase 3 ,2019,0.0,433.0,52.0,3.0,5.333333333333333,6.666666666666667,3.5,4,0.0
2022,aluno848,,,,0.0,6.030205833333333,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.5,7.1875,7.5,3.916666666666667,7.34375,5.3749875,5.0,Fase 3,M,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,,Fase 4 ,2019,0.0,723.0,102.0,13.0,3.833333333333333,4.0,,4,0.0
2022,aluno632,,,,0.0,5.818056666666667,,Quartzo,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.41668,7.583333333333333,7.5,1.25,6.041666666666667,7.277776666666666,5.0,Fase 1,N,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,,Fase 2 ,2021,0.0,748.0,178.0,9.0,2.5,0.0,,3,0.0
2020,aluno1021,Escola Pública,12,1,0.0,6.782918,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,7.8,6.875,4.5,7.1875,7.58333,5.0,Fase 2,M,,,,,,,,,,,,,,,,,
2021,aluno1043,Escola Pública,,,0.0,8.367,,Topázio,,,,9.5,10.0,7.5,6.8,7.5,7.8,10.0,ALFA,M,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,0.0,ALFA  ,,,,,,,,,,
2020,aluno626,Escola Pública,13,3,0.0,7.048958833333334,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91667,6.0,7.5,5.666666666666667,7.65625,7.0416675,10.0,Fase 3,M,,,,,,,,,,,,,,,,,
2020,aluno619,Escola Pública,10,1,0.0,7.741390666666668,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,9.7,7.5,4.5,7.291666666666667,7.61111,10.0,Fase 2,N,,,,,,,,,,,,,,,,,
2021,aluno1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno315,Rede Decisão,,,1.0,8.909,,Topázio,,,,8.8,9.2,7.5,8.2,8.6,9.8,10.0,Fase 5,A,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,1.0,Fase 4 ,,,,,,,,,,
2020,aluno889,Escola Pública,12,1,0.0,7.633752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,8.7,7.5,7.0,8.4375,7.5,5.0,Fase 2,D,,,,,,,,,,,,,,,,,
2020,aluno1243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno668,Escola Pública,,,0.0,6.722,,Ágata,,,,8.0,5.8,7.5,4.5,7.5,6.8,10.0,Fase 2,J,Veterano,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,0.0,Fase 2 ,,,,,,,,,,
2021,aluno356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno1007,Escola Pública,,,0.0,3.752,,Quartzo,,,,0.0,1.7,7.5,0.8,7.2,6.5,5.0,Fase 2,P,Veterano,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não avaliado,-1.0,Fase 3 ,,,,,,,,,,
2020,aluno1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno602,Escola Pública,11,1,0.0,6.1987499999999995,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,3.4999800000000003,9.4,4.375,8.0,7.8125,3.2500099999999996,5.0,ALFA,D,,,,,,,,,,,,,,,,,
2020,aluno472,Escola Pública,10,0,0.0,8.223057333333335,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,8.9,7.5,9.5,7.708333333333334,8.11111,5.0,Fase 1,K,,,,,,,,,,,,,,,,,
2021,aluno1254,Escola Pública,,,0.0,7.379,,Ametista,,,,9.2,5.8,7.5,6.8,7.5,7.2,10.0,Fase 3,C,Veterano,Promovido de Fase,Mantido na Fase + Bolsa,Mantido na Fase atual,Não avaliado,0.0,Fase 3 ,,,,,,,,,,
2022,aluno900,,,,0.0,7.078213898659693,,Ametista,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.91667,7.312949493298463,7.5,6.5,7.65625,7.54166,5.0,Fase 3,B,,Promovido de Fase,Promovido de Fase,Promovido de Fase,Promovido de Fase,,Fase 5 ,2021,0.0,462.0,58.0,7.0,6.0,7.166666666666667,6.333333333333333,4,0.0
2022,aluno107,,,,0.0,6.01131119047619,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.91668,4.952380952380953,7.5,4.0,5.625,8.083335,5.0,ALFA,C,,Mantido na Fase atual,Mantido na Fase atual,,,,Fase 2 ,2022,0.0,728.0,180.0,3.0,8.0,0.0,,2,0.0
2022,aluno711,,,,0.0,5.557438118548119,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,7.259407259407261,5.0,2.583333333333333,5.833333333333334,5.777773333333333,5.0,Fase 2,M,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,,Fase 3 ,2022,0.0,780.0,146.0,13.0,2.166666666666667,3.0,,3,0.0
2022,aluno149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno1239,,,,0.0,7.747224000000001,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,9.791666666666666,7.5,6.916666666666666,6.666666666666666,7.944443333333333,5.0,Fase 2,F,,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,,Fase 3 ,2021,0.0,217.0,34.0,5.0,5.333333333333333,8.5,,3,0.0
2021,aluno784,Rede Decisão,,,1.0,8.533,,Topázio,,,,9.5,9.2,8.8,7.9,8.5,9.7,5.0,Fase 2,G,Ingressante,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,-1.0,Fase 3 ,,,,,,,,,,
2020,aluno226,Rede Decisão/União,11,2,0.0,7.849446666666667,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.500020000000001,7.4,5.625,7.5,8.125,8.222223333333332,10.0,Fase 2,G,,,,,,,,,,,,,,,,,
2021,aluno31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno565,,,,0.0,7.593564610229277,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,9.217813051146384,7.5,7.916666666666666,5.833333333333334,7.166666666666666,5.0,Fase 1,M,,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,,,Fase 2 ,2021,0.0,273.0,71.0,6.0,9.666666666666666,6.166666666666667,,3,0.0
2022,aluno1105,,,,0.0,6.787123434343435,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,8.505050505050505,4.375,5.083333333333334,6.041666666666667,7.88889,5.0,Fase 2,A,,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,,Fase 3 ,2016,0.0,560.0,87.0,9.0,4.5,5.666666666666667,,3,0.0
2022,aluno614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno616,Escola Pública,18,1,0.0,7.748336,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10.00002,8.7,7.5,6.0,8.75,8.41667,5.0,Fase 7,B,,,,,,,,,,,,,,,,,
2022,aluno957,,,,1.0,7.35895350617284,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.50002,9.19753086419753,5.625,6.916666666666666,6.458333333333334,8.388893333333334,5.0,Fase 2,L,,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,,Fase 3 ,2019,1.0,375.0,55.0,10.0,5.333333333333333,8.5,,3,0.0
2020,aluno1156,Escola Pública,13,1,0.0,8.281250333333332,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.33334,9.0,7.5,8.666666666666666,7.8125,6.916665,10.0,Fase 3,B,,,,,,,,,,,,,,,,,
2022,aluno121,,,,0.0,6.244752193362194,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,8.466810966810968,7.5,2.5,6.458333333333334,6.777773333333332,5.0,Fase 2,M,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,,Fase 3 ,2022,0.0,696.0,128.0,11.0,3.0,2.0,,3,0.0
2021,aluno468,Escola Pública,,,0.0,6.583,,Ágata,,,,7.0,6.3,7.5,3.6,7.7,7.0,10.0,Fase 2,N,Ingressante,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,0.0,Fase 2 ,,,,,,,,,,
2020,aluno1222,Rede Decisão/União,17,4,0.0,7.533542000000001,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.16668,6.6,6.875,7.0,7.34375,7.374995,10.0,Fase 7,B,,,,,,,,,,,,,,,,,
2020,aluno1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1216,UNISA,18,1,,7.218335,C,Ágata,Ponto a melhorar em 2021: Melhorar o seu engajamento nas ações de voluntariado.,Seu destaque em 2020: As suas boas notas na Faculdade.,,9.58335,0.0,7.5,9.4,0.0,0.0,10.0,Fase 8,A,,,,,,,,,,,,,,,,,
2020,aluno778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno1347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno1059,,,,0.0,4.837498500000001,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,3.666666666666667,7.5,1.833333333333333,6.875,6.2916575,2.5,Fase 3,L,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,,Fase 6 ,2022,0.0,833.0,134.0,9.0,0.0,5.0,0.5,4,0.0
2020,aluno1249,Rede Decisão/União,14,3,1.0,8.006044,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.16668,7.9,6.25,6.0,8.59375,9.125005,10.0,Fase 5,F,,,,,,,,,,,,,,,,,
2021,aluno304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno1274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno948,Escola Pública,13,2,0.0,7.360557333333334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,8.9,7.5,6.0,7.916666666666668,7.444443333333333,5.0,Fase 2,C,,,,,,,,,,,,,,,,,
2021,aluno155,Escola Pública,,,0.0,5.082,,Quartzo,,,,7.1,5.3,0.0,3.4,8.1,6.6,5.0,Fase 6,C,Ingressante,Mantido na Fase + Bolsa,Promovido de Fase,Não avaliado,Não avaliado,-1.0,Fase 7 ,,,,,,,,,,
2020,aluno45,Escola Pública,11,1,0.0,6.631252,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,1.0,7.5,10.0,7.8125,7.75,5.0,Fase 1,G,,,,,,,,,,,,,,,,,
2021,aluno795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1128,Rede Decisão/União,14,2,1.0,8.229169833333334,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.16668,5.5,10.0,6.666666666666667,9.375,9.7083425,10.0,Fase 4,E,,,,,,,,,,,,,,,,,
2021,aluno443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno746,Rede Decisão,,,1.0,9.107,,Topázio,,,,9.0,8.8,8.8,9.3,8.5,9.4,10.0,Fase 2,G,Veterano,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,0.0,Fase 2 ,,,,,,,,,,
2022,aluno553,,,,0.0,7.094446,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,10.0,7.5,5.25,5.833333333333334,7.055553333333332,5.0,Fase 1,C,,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,,Fase 2 ,2022,0.0,458.0,117.0,7.0,2.0,8.5,,3,0.0
2021,aluno1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno438,,,,0.0,5.848312797385621,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,4.521078431372549,7.5,3.305555555555556,7.96875,7.222219999999999,5.0,Fase 7,A,,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,,Fase 8 ,2021,0.0,745.0,16.0,8.0,2.333333333333333,5.333333333333333,2.25,4,1.0
2020,aluno1311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno905,,,,1.0,7.658744356725147,,Ametista,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,6.65204678362573,7.5,9.1,6.25,8.416665,5.0,ALFA,F,,Promovido de Fase,Mantido na Fase atual,,,,Fase 2 ,2021,0.0,252.0,69.0,4.0,9.1,9.1,,2,0.0
2021,aluno894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno1275,Escola Pública,,,1.0,8.468,,Topázio,,,,9.5,9.6,7.5,7.8,8.3,9.8,5.0,Fase 1,G,Veterano,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,-1.0,Fase 2 ,,,,,,,,,,
2021,aluno761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno126,Escola Pública,,,0.0,6.069,,Ágata,,,,9.0,4.2,7.5,4.5,7.2,7.3,5.0,ALFA,P,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,-1.0,Fase 1 ,,,,,,,,,,
2020,aluno742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno1297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
